date,wind,visibility,temp,usage
1-Jan-2015,8.34375,10,23.09375,472985
2-Jan-2015,17.5,10,34.375,358859
3-Jan-2015,13.8125,10,39.375,324877
4-Jan-2015,9.6,6.75,38.8,386169
5-Jan-2015,8.9,6.224,49.18,308783
6-Jan-2015,20.03125,10,36.71875,342322
7-Jan-2015,7.911111111,6.533333333,20.86666667,362289
8-Jan-2015,21.15625,10,19.75,406394
9-Jan-2015,16.96875,10,15.59375,427238
10-Jan-2015,20.35135135,8.572972973,28.02702703,423813
11-Jan-2015,16.40625,10,20.53125,488879
12-Jan-2015,11.09375,10,29.46875,394560
13-Jan-2015,5.533333333,5.944444444,36.77777778,374733
14-Jan-2015,14.90625,10,27.59375,425982
15-Jan-2015,11.41176471,10,27.23529412,419264
16-Jan-2015,9.696969697,10,31.06060606,427467
17-Jan-2015,17.90625,10,32.78125,453117
18-Jan-2015,10.71875,10,24.5625,451232
19-Jan-2015,7.127272727,5.958181818,40.27272727,402106
20-Jan-2015,15.25,10,39.5,323351
21-Jan-2015,12.34375,10,38.1875,382780
22-Jan-2015,6.53125,9.971875,31.84375,407671
23-Jan-2015,7.666666667,10,35.25,429513
24-Jan-2015,10.4375,9.971875,33.84375,448004
25-Jan-2015,11.19148936,5.195744681,35.63829787,438963
26-Jan-2015,15.125,10,37.8125,386091
27-Jan-2015,18.84444444,3.653333333,26.55555556,212175
28-Jan-2015,19.75,4.456818182,23.75,121085
29-Jan-2015,13.90625,10,24.28125,358837
30-Jan-2015,8.264705882,9.882352941,27.85294118,410077
31-Jan-2015,17.54054054,8.078378378,32.75675676,459114
1-Feb-2015,14.85714286,9.482758621,48,322661
2-Feb-2015,8.138888889,8.277777778,30.52777778,397550
3-Feb-2015,17.48979592,4.942857143,27.95918367,316558
4-Feb-2015,14.125,10,20.875,397798
5-Feb-2015,13.5625,10,33.6875,394653
6-Feb-2015,19.91666667,8.933333333,28.41666667,435155
7-Feb-2015,14,10,20.71875,450809
8-Feb-2015,8.235294118,9.823529412,32,461372
9-Feb-2015,8.837837838,8.867567568,36.89189189,389224
10-Feb-2015,16.86956522,9.891304348,26.91304348,359892
11-Feb-2015,15.87878788,10,31.27272727,401686
12-Feb-2015,10.03125,10,28.34375,424906
13-Feb-2015,12.72222222,8.694444444,31.77777778,439474
14-Feb-2015,18.8125,10,16.78125,458924
15-Feb-2015,9.805555556,8.516666667,26.41666667,475053
16-Feb-2015,27.61764706,8.726470588,16.70588235,432533
17-Feb-2015,15.25,10,14.5625,385739
18-Feb-2015,7.512820513,6.469230769,20,369669
19-Feb-2015,5.823529412,9.947058824,24.17647059,413723
20-Feb-2015,21.6875,10,18.59375,452063
21-Feb-2015,19.09375,10,12.03125,473521
22-Feb-2015,9.956521739,5.423913043,26,431095
23-Feb-2015,3.5,5.905,35,376843
24-Feb-2015,19.15625,10,24.03125,408371
25-Feb-2015,9.852941176,10,16.97058824,422706
26-Feb-2015,10.875,10,29.65625,421019
27-Feb-2015,12.87096774,9.970967742,26,446031
28-Feb-2015,10.03125,10,25.03125,461971
1-Mar-2015,11.67741935,10,73.64516129,356452
2-Mar-2015,4.787234043,6.2,26.87234043,363838
