date,hour,count
18-Mar-2015,18,29679
19-Mar-2015,17,29077
20-Mar-2015,19,28519
21-Mar-2015,18,28960
22-Mar-2015,18,29135
23-Mar-2015,18,27052
24-Mar-2015,17,25198
25-Mar-2015,18,26360
26-Mar-2015,18,28502
27-Mar-2015,18,26932
28-Mar-2015,18,29239
29-Mar-2015,18,31260
30-Mar-2015,18,27946
31-Mar-2015,18,24497
1-May-2015,19,27913
2-May-2015,18,29270
3-May-2015,18,31660
4-May-2015,17,30776
5-May-2015,17,25477
6-May-2015,19,27347
7-May-2015,17,27159
8-May-2015,18,28728
9-May-2015,18,27892
10-May-2015,18,27252
11-May-2015,17,23450
12-May-2015,18,25264
13-May-2015,19,26425
14-May-2015,18,28316
15-May-2015,17,27894
16-May-2015,18,29377
17-May-2015,18,27625
18-May-2015,18,23934
19-May-2015,16,25708
20-May-2015,19,27434
21-May-2015,17,28075
22-May-2015,17,27543
23-May-2015,18,23778
24-May-2015,17,21830
25-May-2015,16,19850
26-May-2015,14,19471
27-May-2015,18,25382
28-May-2015,18,27319
29-May-2015,18,27259
30-May-2015,18,28175
31-May-2015,18,25952
1-Nov-2015,17,24418
2-Nov-2015,17,44718
3-Nov-2015,17,22493
4-Nov-2015,18,23904
5-Nov-2015,18,25286
6-Nov-2015,17,25672
7-Nov-2015,17,26740
8-Nov-2015,18,26099
9-Nov-2015,17,24718
10-Nov-2015,18,23596
11-Nov-2015,18,25203
12-Nov-2015,16,24502
13-Nov-2015,17,26353
14-Nov-2015,18,26764
15-Nov-2015,18,26021
16-Nov-2015,17,24050
17-Nov-2015,17,22989
18-Nov-2015,18,25258
19-Nov-2015,18,25204
20-Nov-2015,17,24416
21-Nov-2015,18,26217
22-Nov-2015,18,25376
23-Nov-2015,16,23756
24-Nov-2015,18,23874
25-Nov-2015,17,22884
26-Nov-2015,16,21087
27-Nov-2015,10,13236
28-Nov-2015,12,18476
29-Nov-2015,14,22022
30-Nov-2015,15,19459
1-Oct-2015,19,22833
2-Oct-2015,17,24192
3-Oct-2015,17,24840
4-Oct-2015,17,24423
5-Oct-2015,17,23277
6-Oct-2015,18,23406
7-Oct-2015,18,25304
8-Oct-2015,19,25573
9-Oct-2015,18,26170
10-Oct-2015,18,22873
11-Oct-2015,18,25138
12-Oct-2015,17,24506
13-Oct-2015,15,21850
14-Oct-2015,18,24380
15-Oct-2015,18,25275
16-Oct-2015,18,26117
17-Oct-2015,18,27144
18-Oct-2015,18,28075
19-Oct-2015,17,24874
20-Oct-2015,18,24438
21-Oct-2015,18,25258
22-Oct-2015,18,25933
23-Oct-2015,17,25704
24-Oct-2015,18,27117
25-Oct-2015,18,24654
26-Oct-2015,17,24142
27-Oct-2015,18,24030
28-Oct-2015,18,25422
29-Oct-2015,17,23459
30-Oct-2015,19,25509
31-Oct-2015,18,26800
1-Sep-2015,18,23959
2-Sep-2015,17,22550
3-Sep-2015,17,24087
4-Sep-2015,16,23795
5-Sep-2015,17,21153
6-Sep-2015,16,19202
7-Sep-2015,15,16793
8-Sep-2015,13,18216
9-Sep-2015,19,24267
10-Sep-2015,18,24481
11-Sep-2015,17,25003
12-Sep-2015,17,25475
13-Sep-2015,18,25557
14-Sep-2015,17,22112
15-Sep-2015,15,22390
16-Sep-2015,17,24996
17-Sep-2015,17,25356
18-Sep-2015,17,25596
19-Sep-2015,18,27010
20-Sep-2015,18,25400
21-Sep-2015,17,23140
22-Sep-2015,18,23939
23-Sep-2015,18,24177
24-Sep-2015,17,25020
25-Sep-2015,16,20745
26-Sep-2015,17,24877
27-Sep-2015,18,25658
28-Sep-2015,17,23985
29-Sep-2015,17,20473
30-Sep-2015,18,23889
