date,wind,visibility,temp,usage
1-Jan-2015,8.34375,10,23.09375,5309
2-Jan-2015,17.5,10,34.375,4358
3-Jan-2015,13.8125,10,39.375,8013
4-Jan-2015,9.6,6.75,38.8,3148
5-Jan-2015,8.9,6.224,49.18,7117
6-Jan-2015,20.03125,10,36.71875,9544
7-Jan-2015,7.911111111,6.533333333,20.86666667,5285
8-Jan-2015,21.15625,10,19.75,5434
9-Jan-2015,16.96875,10,15.59375,6053
10-Jan-2015,20.35135135,8.572972973,28.02702703,5379
11-Jan-2015,16.40625,10,20.53125,5102
12-Jan-2015,11.09375,10,29.46875,6542
13-Jan-2015,5.533333333,5.944444444,36.77777778,5958
14-Jan-2015,14.90625,10,27.59375,7136
15-Jan-2015,11.41176471,10,27.23529412,7841
16-Jan-2015,9.696969697,10,31.06060606,8176
17-Jan-2015,17.90625,10,32.78125,8313
18-Jan-2015,10.71875,10,24.5625,6358
19-Jan-2015,7.127272727,5.958181818,40.27272727,1084
20-Jan-2015,15.25,10,39.5,8628
21-Jan-2015,12.34375,10,38.1875,10208
22-Jan-2015,6.53125,9.971875,31.84375,8759
23-Jan-2015,7.666666667,10,35.25,9928
24-Jan-2015,10.4375,9.971875,33.84375,9792
25-Jan-2015,11.19148936,5.195744681,35.63829787,4152
26-Jan-2015,15.125,10,37.8125,8176
27-Jan-2015,18.84444444,3.653333333,26.55555556,1582
28-Jan-2015,19.75,4.456818182,23.75,935
29-Jan-2015,13.90625,10,24.28125,4231
30-Jan-2015,8.264705882,9.882352941,27.85294118,6120
31-Jan-2015,17.54054054,8.078378378,32.75675676,5693
1-Feb-2015,14.85714286,9.482758621,48,20276
2-Feb-2015,8.138888889,8.277777778,30.52777778,5643
3-Feb-2015,17.48979592,4.942857143,27.95918367,920
4-Feb-2015,14.125,10,20.875,3569
5-Feb-2015,13.5625,10,33.6875,6430
6-Feb-2015,19.91666667,8.933333333,28.41666667,6014
7-Feb-2015,14,10,20.71875,6045
8-Feb-2015,8.235294118,9.823529412,32,5585
9-Feb-2015,8.837837838,8.867567568,36.89189189,5529
10-Feb-2015,16.86956522,9.891304348,26.91304348,3768
11-Feb-2015,15.87878788,10,31.27272727,6623
12-Feb-2015,10.03125,10,28.34375,7041
13-Feb-2015,12.72222222,8.694444444,31.77777778,6506
14-Feb-2015,18.8125,10,16.78125,5300
15-Feb-2015,9.805555556,8.516666667,26.41666667,3696
16-Feb-2015,27.61764706,8.726470588,16.70588235,2091
17-Feb-2015,15.25,10,14.5625,3351
18-Feb-2015,7.512820513,6.469230769,20,4156
19-Feb-2015,5.823529412,9.947058824,24.17647059,5626
20-Feb-2015,21.6875,10,18.59375,5199
21-Feb-2015,19.09375,10,12.03125,4496
22-Feb-2015,9.956521739,5.423913043,26,2277
23-Feb-2015,3.5,5.905,35,3888
24-Feb-2015,19.15625,10,24.03125,4981
25-Feb-2015,9.852941176,10,16.97058824,5199
26-Feb-2015,10.875,10,29.65625,6592
27-Feb-2015,12.87096774,9.970967742,26,5707
28-Feb-2015,10.03125,10,25.03125,5855
1-Mar-2015,11.67741935,10,73.64516129,26288
2-Mar-2015,4.787234043,6.2,26.87234043,1876
3-Mar-2015,14.8,8.671428571,33.11428571,5614
4-Mar-2015,9.311111111,6.586666667,30.15555556,3327
5-Mar-2015,10.82051282,5.717948718,37.69230769,4912
6-Mar-2015,12.47169811,3.924528302,28.69811321,786
7-Mar-2015,9.34375,10,20.09375,3972
8-Mar-2015,11.75,10,28.625,4767
9-Mar-2015,10.3125,9.934375,39.84375,6989
10-Mar-2015,8.625,10,43.09375,10756
11-Mar-2015,3.58974359,7.248717949,42.74358974,6723
12-Mar-2015,9.756097561,6.358536585,49.09756098,13718
13-Mar-2015,20.3125,10,44.59375,11164
14-Mar-2015,8.4375,10,36.71875,10390
15-Mar-2015,9.085106383,4.980851064,45,3181
16-Mar-2015,19.875,10,43.25,7411
17-Mar-2015,9.21875,10,41.21875,11131
18-Mar-2015,17.5,9.840625,46.09375,10021
19-Mar-2015,19.34375,9.971875,34.21875,8235
20-Mar-2015,12.09375,10,35.96875,10214
21-Mar-2015,10.31707317,5.536585366,33.36585366,3777
22-Mar-2015,9.055555556,8.516666667,37.22222222,8428
23-Mar-2015,17.48484848,10,39.09090909,8356
24-Mar-2015,15.21875,10,32.15625,9696
25-Mar-2015,8.625,10,33.90625,10545
26-Mar-2015,5.529411765,9.732352941,39,8177
27-Mar-2015,8.811320755,3.109433962,47.22641509,8953
28-Mar-2015,10.65853659,10,43.87804878,10002
29-Mar-2015,17.25,9.7875,36.40625,1091
30-Mar-2015,14.09375,9.9375,35.125,8057
31-Mar-2015,14.38235294,9.882352941,43.73529412,12264
2-Apr-2015,11.59375,10,43.40625,20146
3-Apr-2015,13.90625,10,46.5,23190
4-Apr-2015,7.5625,3.945833333,49.64583333,13745
5-Apr-2015,18.8974359,8.207692308,50.74358974,13330
